"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"12","RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶",FALSE,0,NA,2017-08-02 14:24:34,FALSE,NA,"892752992612614144",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GANDJMDAEI",703,TRUE,FALSE,NA,NA
"13","$SPY $DIA $QQQ $VIX $VXX $UVXY TRUMP-CRAPPLE TOP $AAPL  https://t.co/jqByIFKURs",FALSE,0,NA,2017-08-02 14:24:34,FALSE,NA,"892752990679052288",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nobullshytrader",0,FALSE,FALSE,NA,NA
"14","$NBDR is making moves toward #triple #digit #gains Make your move #today #StockMarket #paid $psid $aapl $fb $aghi‚Ä¶ https://t.co/wNq2ygKsBf",FALSE,2,NA,2017-08-02 14:24:32,TRUE,NA,"892752983825551361",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","stockpicklist",2,FALSE,FALSE,NA,NA
"15","Comment: Apple's guidance suggests iPhone 8 will go on sale in September, with constrained supply‚Ä¶ https://t.co/MM5xe3PLOO",FALSE,0,NA,2017-08-02 14:24:29,TRUE,NA,"892752969568894977",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","MacHashNews",0,FALSE,FALSE,NA,NA
"16","RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶",FALSE,0,NA,2017-08-02 14:24:26,FALSE,NA,"892752957976059904",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BethanyGarladn",703,TRUE,FALSE,NA,NA
"17","RT @nanexllc: During the first 15 minutes today, $AAPL was 10% of the total dollar value of all U.S. stocks AND ETFs traded",FALSE,0,NA,2017-08-02 14:24:25,FALSE,NA,"892752953664315393",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","InfinitusCap",24,TRUE,FALSE,NA,NA
"18","RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶",FALSE,0,NA,2017-08-02 14:24:21,FALSE,NA,"892752936983461889",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","aMdcapTheatre",703,TRUE,FALSE,NA,NA
"19","$AAPL so far opened on highs fading into the gap. Profit taking. Pre-earnings run started at $142 https://t.co/DkYayfKhqK",FALSE,0,NA,2017-08-02 14:24:14,FALSE,NA,"892752907568914432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TraderMichigan",0,FALSE,FALSE,NA,NA
"20","Are you Bullish or Bearish on #Apple? Start #Trading $AAPL with #BitcoinÌ†ΩÌ∏ç $QQQ #Stocks #Blockchain  #Cryptocurrency‚Ä¶ https://t.co/wiMWKdks4l",FALSE,0,NA,2017-08-02 14:24:13,TRUE,NA,"892752904460881920",NA,"<a href=""http://www.crowdfireapp.com"" rel=""nofollow"">Crowdfire - Go Big</a>","ElixiumCrypto",0,FALSE,FALSE,NA,NA
"21","RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶",FALSE,0,NA,2017-08-02 14:24:12,FALSE,NA,"892752899926667265",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Okt1uspi",703,TRUE,FALSE,NA,NA
"22","RT @ValaAfshar: Apple has $261.5 billion in cash. It could buy all:

NFL teams Ì†ºÌøà
NBA teams Ì†ºÌøÄ
MLB teams ‚öæÔ∏è
NHL teams Ì†ºÌøí

and still have $75B‚Ä¶",FALSE,0,NA,2017-08-02 14:24:04,FALSE,NA,"892752865856548864",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","seyitaylor",323,TRUE,FALSE,NA,NA
"23","RT @nanexllc: During the first 15 minutes today, $AAPL was 10% of the total dollar value of all U.S. stocks AND ETFs traded",FALSE,0,NA,2017-08-02 14:24:01,FALSE,NA,"892752855110758400",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","TradersCom",24,TRUE,FALSE,NA,NA
"24","RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶",FALSE,0,NA,2017-08-02 14:23:57,FALSE,NA,"892752837792419840",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DishonouredlofW",703,TRUE,FALSE,NA,NA
"25","RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶",FALSE,0,NA,2017-08-02 14:23:57,FALSE,NA,"892752836110544896",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","cbgossnile",703,TRUE,FALSE,NA,NA
"26","$AAPL Boom full target hit netted out $2.00 on day trade shorts and $10,50 over night calls. $12.50 in less than ... https://t.co/rGx8bNDQ43",FALSE,0,NA,2017-08-02 14:23:57,FALSE,NA,"892752835867275265",NA,"<a href=""http://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>","StevePTrading",0,FALSE,FALSE,NA,NA
"27","$AAPL below previous ATH",FALSE,0,NA,2017-08-02 14:23:55,FALSE,NA,"892752830389518337",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","IncomeDisparity",0,FALSE,FALSE,NA,NA
"28","$AAPL coming into a nice support level at previous all time highs. Watch it https://t.co/Lt3VEWjVHr",FALSE,0,NA,2017-08-02 14:23:55,FALSE,NA,"892752830125232128",NA,"<a href=""http://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>","Trading_Analyst",0,FALSE,FALSE,NA,NA
"29","RT @TDAJJKinahan: With $AAPL behind us, focus turns to TSLA, with hopes of more insight into the company‚Äôs delivery schedule. https://t.co/‚Ä¶",FALSE,0,NA,2017-08-02 14:23:54,FALSE,NA,"892752823657652232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BVZ_Investools",2,TRUE,FALSE,NA,NA
"30","RT @ValaAfshar: Apple has $261.5 billion in cash. It could buy all:

NFL teams Ì†ºÌøà
NBA teams Ì†ºÌøÄ
MLB teams ‚öæÔ∏è
NHL teams Ì†ºÌøí

and still have $75B‚Ä¶",FALSE,0,NA,2017-08-02 14:23:49,FALSE,NA,"892752804321927168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ValaAfshar",323,TRUE,FALSE,NA,NA
"31","RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶",FALSE,0,NA,2017-08-02 14:23:46,FALSE,NA,"892752789692141568",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MrAndersoANTn",703,TRUE,FALSE,NA,NA
"32","$AAPL now below last ATH",FALSE,0,NA,2017-08-02 14:23:45,FALSE,NA,"892752785388830721",NA,"<a href=""http://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>","Trading4_Living",0,FALSE,FALSE,NA,NA
"33","Its early in the day, but $AAPL is struggling to hold the breakout. $DJI hit 22K but all the gain over past week ha‚Ä¶ https://t.co/gPACpT5dMi",FALSE,0,NA,2017-08-02 14:23:44,TRUE,NA,"892752782029094914",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","argoexp",0,FALSE,FALSE,NA,NA
"34","RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶",FALSE,0,NA,2017-08-02 14:23:44,FALSE,NA,"892752781320355840",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bentaryc",703,TRUE,FALSE,NA,NA
"35","@awarebiometrics $AWRE  @CapstoneTurbine $CPST LOSER HALL OF FAME co if @cnbc will not do it, WE WILL $AAPL $OCLR‚Ä¶ https://t.co/e582s6t8Zr",FALSE,0,"AwareBiometrics",2017-08-02 14:23:43,TRUE,NA,"892752776064892928","111465555","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ihuntbiggame1",0,FALSE,FALSE,NA,NA
"36","RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶",FALSE,0,NA,2017-08-02 14:23:41,FALSE,NA,"892752768045244416",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","cynthiameeheh",703,TRUE,FALSE,NA,NA
"37","Apple given $185.00 PT by Independent Research GmbH. buy rating. https://t.co/tT7gG2KgRm $AAPL #AAPL",FALSE,0,NA,2017-08-02 14:23:36,FALSE,NA,"892752747145162753",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","RatingsNetwork",0,FALSE,FALSE,NA,NA
"38","Trading desks at big funds ""Keep selling $AAPL to unsuspecting retail"".  Who knows how it ends but I can envisage ugly candle.  Remains to Ì†ΩÌ±Ä",FALSE,0,NA,2017-08-02 14:23:33,FALSE,NA,"892752734725824512",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GrantMBeasley",0,FALSE,FALSE,NA,NA
"39","RT @ValaAfshar: Apple has $261.5 billion in cash. It could buy: 

Uber
Tesla
Netflix
Airbnb
Twitter

...and still have $29 billion left. $A‚Ä¶",FALSE,0,NA,2017-08-02 14:23:32,FALSE,NA,"892752733442322433",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","aaronl23",1253,TRUE,FALSE,NA,NA
"40","Apple given $175.00 PT by Sanford C. Bernstein. buy rating. https://t.co/DmhLIzN0jt $AAPL #AAPL",FALSE,0,NA,2017-08-02 14:23:32,FALSE,NA,"892752731571716096",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","RatingsNetwork",0,FALSE,FALSE,NA,NA
"41","@CounterPointTR @HuaweiMobile @xiaomi @james_a3 @Tarunpathak @SamsungMobile Couple of posts on $AAPL :

1/   Q2 201‚Ä¶ https://t.co/fErKQQJX5B",FALSE,0,"neiltwitz",2017-08-02 14:23:28,TRUE,"892752043307261952","892752713712140288","31425124","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","neiltwitz",0,FALSE,FALSE,NA,NA
"42","RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶",FALSE,0,NA,2017-08-02 14:23:24,FALSE,NA,"892752700198313984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","farmerfar55",703,TRUE,FALSE,NA,NA
"43","RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶",FALSE,0,NA,2017-08-02 14:23:22,FALSE,NA,"892752690660466688",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","messeBraunsteni",703,TRUE,FALSE,NA,NA
"44","Technicals by S&amp;P 500 stocks to 10:00: Mixed. Breakouts: $BBY $CB $ILMN $AME $AAPL $PALL. Breakdowns: $AN $PXD $AIZ $ABC $CAH $DVA $GGP",FALSE,1,NA,2017-08-02 14:23:22,FALSE,NA,"892752689913880576",NA,"<a href=""http://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>","EquityClock",0,FALSE,FALSE,NA,NA
"45","RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶",FALSE,0,NA,2017-08-02 14:23:14,FALSE,NA,"892752655428104194",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Ash__sMakr",703,TRUE,FALSE,NA,NA
"46","so, $AAPL closed on january 27, 2014 @ $72. today? trading at $157 but, you know, Ì†æÌ¥∑Ì†ºÌøæ‚Äç‚ôÇÔ∏èÌ†æÌ¥∑Ì†ºÌøæ‚Äç‚ôÇÔ∏èÌ†æÌ¥∑Ì†ºÌøæ‚Äç‚ôÇÔ∏èÌ†æÌ¥∑Ì†ºÌøæ‚Äç‚ôÇÔ∏è https://t.co/6J8RQNNcwO",FALSE,1,NA,2017-08-02 14:23:14,FALSE,NA,"892752655390474242",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","RoyceMcAllister",0,FALSE,FALSE,NA,NA
"47","$GRMN $FIT $AAPL:

Garmin Tops Wall Street Estimates, Fueled by Outdoor Gadget Sales:

https://t.co/flJbxiK3YS",FALSE,0,NA,2017-08-02 14:23:07,FALSE,NA,"892752625791188993",NA,"<a href=""http://www.stocknewswires.com"" rel=""nofollow"">StockNewsWires</a>","StockNewsWires",0,FALSE,FALSE,NA,NA
"48","$TWX $T $AAPL:

AT&amp;T: Wireless Executive Glenn Lurie to Retire Next Month:

https://t.co/UGfNjeAaz3",FALSE,0,NA,2017-08-02 14:23:06,FALSE,NA,"892752623937372160",NA,"<a href=""http://www.stocknewswires.com"" rel=""nofollow"">StockNewsWires</a>","ProTradersNews",0,FALSE,FALSE,NA,NA
"49","RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶",FALSE,0,NA,2017-08-02 14:23:06,FALSE,NA,"892752620955291649",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TheJackGylele",708,TRUE,FALSE,NA,NA
"50","RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶",FALSE,0,NA,2017-08-02 14:23:03,FALSE,NA,"892752609777524737",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sam_montznea",708,TRUE,FALSE,NA,NA
"51","$AAPL puts, can we get to the breakout # of $155 ish? https://t.co/YiBGDXxgWC",FALSE,1,NA,2017-08-02 14:22:59,FALSE,NA,"892752595441332225",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MalibuInvest",0,FALSE,FALSE,NA,NA
"52","$NQ $NDX at trendline
$AAPL #FAANG https://t.co/WMMJRDtl24",FALSE,1,NA,2017-08-02 14:22:57,FALSE,NA,"892752587111268352",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Quagmires",0,FALSE,FALSE,NA,NA
"53","RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶",FALSE,0,NA,2017-08-02 14:22:53,FALSE,NA,"892752567825911809",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BroadwayToyoba",708,TRUE,FALSE,NA,NA
"54","RT @theflynews: On The Fly: Pre-market Movers $AAPL $ILMN $HBI $FEYE $HUM $FMC $AN $SODA $GRPN $HLF https://t.co/PumPNV7K2q",FALSE,0,NA,2017-08-02 14:22:48,FALSE,NA,"892752547374563329",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","hick94859264",1,TRUE,FALSE,NA,NA
"55","RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶",FALSE,0,NA,2017-08-02 14:22:45,FALSE,NA,"892752533202055169",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DixieChoppPrDe",708,TRUE,FALSE,NA,NA
"56","RT @ShannanSiemens: Now @SquawkStreet @jimcramer: Tim Cook is a big binge watcher. He gets it. $AAPL https://t.co/5XraxOL8zy",FALSE,0,NA,2017-08-02 14:22:39,FALSE,NA,"892752511517556736",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KLRTRDR",4,TRUE,FALSE,NA,NA
"57","RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶",FALSE,0,NA,2017-08-02 14:22:38,FALSE,NA,"892752506895421440",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uJlioCalderon1",708,TRUE,FALSE,NA,NA
"58","keep taking profits on $AAPL short. https://t.co/nZm7FBo93F",FALSE,0,NA,2017-08-02 14:22:38,FALSE,NA,"892752505842663424",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Zen_n_Sys",0,FALSE,FALSE,NA,NA
"59","$AAPL right back to previous ATH in upper 156's wow",FALSE,0,NA,2017-08-02 14:22:37,FALSE,NA,"892752501946146816",NA,"<a href=""http://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>","Trading4_Living",0,FALSE,FALSE,NA,NA
"60","With $AAPL behind us, focus turns to TSLA, with hopes of more insight into the company‚Äôs delivery schedule.‚Ä¶ https://t.co/AjCGSNzLt0",FALSE,2,NA,2017-08-02 14:22:34,TRUE,NA,"892752488780242945",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TDAJJKinahan",2,FALSE,FALSE,NA,NA
"61","RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶",FALSE,0,NA,2017-08-02 14:22:33,FALSE,NA,"892752482987913217",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BoozOneTJ",708,TRUE,FALSE,NA,NA
"62","RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶",FALSE,0,NA,2017-08-02 14:22:25,FALSE,NA,"892752451320852481",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nyec_md",708,TRUE,FALSE,NA,NA
"63","RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶",FALSE,0,NA,2017-08-02 14:22:21,FALSE,NA,"892752433637539840",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Hyperrealiy3t03",708,TRUE,FALSE,NA,NA
"64","RT @ValaAfshar: Apple has $261.5 billion in cash. It could buy: 

Uber
Tesla
Netflix
Airbnb
Twitter

...and still have $29 billion left. $A‚Ä¶",FALSE,0,NA,2017-08-02 14:22:17,FALSE,NA,"892752416814321670",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NasirBalarabe",1254,TRUE,FALSE,NA,NA
"65","RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶",FALSE,0,NA,2017-08-02 14:22:14,FALSE,NA,"892752405179375622",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","eDsignCuisine",708,TRUE,FALSE,NA,NA
"66","RT @williamlegate: Apple / $AAPL is currently sitting on $261.5 billion in CASH.
The United States Federal Reserve has ""just"" $189 billion.",FALSE,0,NA,2017-08-02 14:22:14,FALSE,NA,"892752403254194179",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fawa22",67,TRUE,FALSE,NA,NA
"67","$AAPL Apple takes Dow over 22,000 points; other stocks are mixed https://t.co/4LakNvajkF",FALSE,0,NA,2017-08-02 14:22:12,FALSE,NA,"892752395180154880",NA,"<a href=""http://finzine.com"" rel=""nofollow"">Finzine</a>","finzine",0,FALSE,FALSE,NA,NA
"68","RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶",FALSE,0,NA,2017-08-02 14:22:10,FALSE,NA,"892752389178044416",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HermanMunster58",708,TRUE,FALSE,NA,NA
"69","RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶",FALSE,0,NA,2017-08-02 14:21:57,FALSE,NA,"892752332311728129",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BoydEmmlnaeu",708,TRUE,FALSE,NA,NA
"70","RT @ValaAfshar: Apple has $261.5 billion in cash. It could buy all:

NFL teams Ì†ºÌøà
NBA teams Ì†ºÌøÄ
MLB teams ‚öæÔ∏è
NHL teams Ì†ºÌøí

and still have $75B‚Ä¶",FALSE,0,NA,2017-08-02 14:21:55,FALSE,NA,"892752327064657921",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lappalaispete",323,TRUE,FALSE,NA,NA
"71","RT @ValaAfshar: Apple has $261.5 billion in cash. It could buy: 

Uber
Tesla
Netflix
Airbnb
Twitter

...and still have $29 billion left. $A‚Ä¶",FALSE,0,NA,2017-08-02 14:21:53,FALSE,NA,"892752315312205824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jide6carlos",1254,TRUE,FALSE,NA,NA
"72","$AAPL You could be right but it will not happen fast unless Trump attacks S K then i agree https://t.co/AKtVcZsHqG",FALSE,0,NA,2017-08-02 14:21:51,FALSE,NA,"892752306407604224",NA,"<a href=""http://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>","StevePTrading",0,FALSE,FALSE,NA,NA
"73","RT @vindugoel: Analyst asks @tim_cook about the 3 factories. He ducks, talks about 2 million U.S. jobs Apple created, including developers,‚Ä¶",FALSE,0,NA,2017-08-02 14:21:28,FALSE,NA,"892752210337165312",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TechNewsDC",2,TRUE,FALSE,NA,NA
"74","RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶",FALSE,0,NA,2017-08-02 14:21:24,FALSE,NA,"892752194226708480",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","catsbecye",708,TRUE,FALSE,NA,NA
