"first","second","grade","spec"
"CD","CC",8,"X"
"CD","DD",8,"Q"
"DF","AF",8,"Z"
"BA","AF",8,"R "
"BA","AF",8,"Q"
"ED","AF",8,"X"
"BC","AF",8,"X"
"BA","BC",8,"U"
"CA","BC",8,"V"
"CA","BC",8,"R"
"CF","DE",8,"R"
"ED","AA",8,"Y"
"DF","BF",8,"R"
"CC","CA",8,"U"
"CC","CA",8,"X"
"CC","CA",8,"X"
"ED","BA",8,"R "
"AB","BA",8,"R"
"CD","LB",8,"T"
"BA","LA",8,"R"
"BB","CC",8,"X"
"AC","CE",8,"R"
"CA","CE",8,"Y"
"ED","KF",8,"Q"
"FD","EF",8,"R"
"KA","BB",8,"Q"
"ED","BB",8,"X"
"EB","BB",8,"Y"
"DF","CF",8,"R"
"AD","AC",8,"Z"
"DF","AC",8,"Y"
"DF","AC",8,"Z"
"DB","DA",8,"Y"
"DB","DA",8,"Y"
"LC","CA",8,"X"
"BA","AF",8,"Q"
"CF","BD",9,"W"
"AF","LD",9,"T"
"AD","AE",9,"Z"
"AC","AE",9,"Y"
"AC","EA",9,"X"
"DF","CB",9,"Z"
"AD","AC",9,"Z"
"CD","DD",9,"Y"
"BA","LE",9,"R"
"BA","AB",9,"R"
"CB","DF",7,"X"
